Card Name,Quantity,Set Code,Number
Smelt-Ward Ignus,4,RNA,116
Snow Day,1,STX,53
Sorcerer's Broom,4,ELD,232
Specter's Shriek,2,ELD,106
Spiteful Returned,1,BNG,84
Split the Party,1,AFR,76
Staggershock,1,2X2,125
Storm Skreelix,2,MID,243
Stormcrag Elemental,1,DTK,158
Sudden Impact,2,9ED,222
Surreal Memoir,2,IMA,148
Tattered Ratter,1,WOE,152
Taunting Arbormage,2,ZNR,212
Territorial Maro,2,DMU,184
Thrashing Mudspawn,6,ONS,177
Thunder Brute,2,BNG,113
Totem-Guide Hartebeest,3,ORI,37
Trial of Knowledge,2,AKH,73
"Tura Kennerud, Skyknight",1,DMU,224
Turn into a Pumpkin,3,ELD,69
Twisted Reflection,13,MH1,74
Ukud Cobra,1,DTK,123
Ulamog's Nullifier,13,BFZ,207
Uncaged Fury,2,M20,163
Undercity Necrolisk,1,GRN,87
Unified Front,10,BFZ,53
Void Grafter,3,OGW,150
Vow of Duty,1,CMR,54
Wandering Mind,1,VOW,251
When We Were Young,2,NEO,43
Whispering Snitch,1,GRN,90
Wild-Field Scarecrow,1,SOI,269
Xerex Strobe-Knight,2,MOM,85
Zhalfirin Decoy,7,MH1,39
Aberrant Mind Sorcerer,3,AFR,44
Aethermage's Touch,2,2X2,167
Alpine Houndmaster,3,M21,215
Annihilate,2,EMA,79
Anvilwrought Raptor,3,THS,211
Ardent Militia,1,6ED,3
Armament Corps,9,KTK,165
Arrest,3,RTR,3
Baneblade Scoundrel // Baneclaw Marauder,1,MID,289
Battlewing Mystic,5,DMU,43
Blinding Spray,7,KTK,32
Bloodmist Infiltrator,2,RNA,65
Bloodsky Berserker,1,KHM,80
Boarded Window,2,VOW,253
Bortuk Bonerattle,1,DMU,197
Brazen Scourge,7,KLD,107
Carrion Wall,4,8ED,121
Caught in the Crossfire,1,OTJ,117
Caustic Tar,3,A25,81
Centaur Battlemaster,2,THS,154
Charge of the Forever-Beast,1,IKO,147
Clamor Shaman,3,RNA,96
Clandestine Meddler,1,MKM,82
Colossadactyl,1,LCI,180
Consul's Shieldguard,3,KLD,11
Corpse Appraiser,1,SNC,302
Crystalline Nautilus,1,JOU,34
Cudgel Troll,2,M10,174
Cutthroat Maneuver,5,THS,82
Daggerclaw Imp,1,MM2,74
Dark Nourishment,3,XLN,97
Dawnhart Wardens,2,MID,216
Defend the Celestus,1,MID,182
Deft Dismissal,1,AER,17
Devoted Grafkeeper // Departed Soulkeeper,3,MID,218
Divine Gambit,2,KHM,8
Dragonloft Idol,2,IMA,215
Drooling Groodion,2,DDM,65
Druid of Horns,2,M19,176
Dual-Sun Adepts,1,EOE,12
Elaborate Firecannon,3,XLN,237
Elegant Edgecrafters,4,KLD,154
Elite Scaleguard,1,ZNC,14
Essence Extraction,2,KLD,80
Execute,4,9ED,128
Eyes Everywhere,2,RNA,38
Fall of the Gavel,5,RTR,161
Flame-Kin Zealot,1,EMA,201
Flight of Equenauts,3,GRN,11
Furyblade Vampire,2,EMN,128
Galvanic Juggernaut,1,ISD,222
Gang of Devils,2,AVR,136
"General Traag, Heart of Stone",1,TMT,90
Genghis Frog,1,TMT,148
Gloomwidow,2,AVR,180
Great Teacher's Decree,2,DTK,21
Great Teacher's Decree,1,IMA,21
Grim Captain's Call,2,XLN,108
Grip of Desolation,5,BFZ,94
Grove Rumbler,9,BFZ,211
Hackrobat,3,RNA,181
Hamlet Captain,5,ISD,187
Harrowing Journey,1,DKA,67
Haunted Screen,1,DSK,250
Hedge Whisperer,1,MKM,165
Hero of the Winds,1,THB,23
Howling Galefang,1,WOE,175
Humble the Brute,1,SOI,23
Hunting Pack,1,MH2,284e
Hurl into History,1,LCI,59
Hurloon Battle Hymn,1,DMU,131
Infuse with the Elements,6,BFZ,175
Into the Void,3,M15,60
Intrepid Outlander,3,AFR,191
Joyful Stormsculptor,4,MOM,243
Kaleidoscorch,1,MH2,133
Karona's Zealot,2,A25,18
Kuldotha Flamefiend,1,MBS,69
"Landroval, Horizon Witness",1,LTR,21
Maalfeld Twins,2,AVR,112
Mad Prophet,2,SOI,171
Manticore Eternal,5,HOU,103
Mardu Heart-Piercer,7,KTK,116
Maverick Thopterist,5,AER,130
Memorial Team Leader,1,EOE,144
Mindeye Drake,4,GTC,43
Mistform Shrieker,4,ONS,96
Murasa Ranger,8,BFZ,178
Murder of Crows,5,A25,66
Mutagen Connoisseur,3,MOM,248
Nantuko Cultivator,3,MH1,173
Nebelgast Intruder,1,MID,64
Necromancer's Familiar,1,MH2,94
Needletooth Pack,1,FDN,108
Nylea's Emissary,6,THS,168
Pestilent Haze,1,M21,118
Phantom Warrior,1,10E,96
Porcuparrot,1,IKO,128
Primal Clay,4,M13,210
Provoke the Trolls,4,KHM,144
Public Execution,1,M13,105
Pugnacious Pugilist,1,SNC,117
"Quickbeam, Upstart Ent",1,LTR,183
Ravenous Bloodseeker,4,SOI,175
Ravenous Necrotitan,2,ONE,106
Raving Visionary,1,MH2,56
Relentless Hunter,5,OGW,158
Resolute Rider,3,ELD,214
Resplendent Griffin,3,RIX,170
Restoration Gearsmith,7,KLD,185
Ritual of Hope,4,MID,31
River Hoopoe,1,2X2,269
Seek the Horizon,6,KTK,150
Selfless Samurai,2,NEO,35
Serra Angel,4,DOM,33
Shadowstorm Vizier,1,AKH,206
Shrewd Storyteller,1,DSK,232
Skaab Goliath,2,ORI,74
Skirsdag Cultist,1,ISD,163
Skyclave Geopede,1,ZNR,301
Skywhaler's Shot,1,KLD,29
Stormcaller of Keranos,2,BNG,112
Sultai Flayer,4,IMA,186
Sultai Flayer,6,KTK,152
Sultai Soothsayer,1,2X2,279
Sultai Soothsayer,2,KTK,205
Surreal Memoir,1,2X2,127
Sword Dancer,2,8ED,53
Tanglebloom,2,9ED,311
Thoughtflare,3,RTR,203
Topan Freeblade,1,IMA,37
Tower Gargoyle,1,2X2,288
Watchful Blisterzoa,1,ONE,78
Will of the All-Hunter,7,IKO,38
Willbender,2,A25,78
Wing Shards,8,MH1,38
Woodborn Behemoth,1,M14,203
"Yargle, Glutton of Urborg",1,DOM,113
Zhur-Taa Goblin,1,RNA,215
Air Elemental,4,XLN,45
Allied Assault,1,ZNR,1
Ambulatory Edifice,1,ONE,79
Angler Drake,2,AKH,41
Anointer of Champions,5,ORI,3
Arboretum Elemental,2,GRN,122
Assassin's Strike,5,RTR,57
Awakened Awareness,1,NEO,47
Battershield Warrior,3,KHM,2
Belligerent of the Ball,2,WOE,120
Careless Celebrant,2,THB,129
Cartographer's Survey,1,VOW,190
Case File Auditor,1,MKM,7
Centaur Battlemaster,1,2X2,140
Clear Shot,1,J25,645
Cleaving Skyrider,1,DMU,12
Coalition Skyknight,4,DMU,14
Council of Echoes,1,LCI,51
Crew Captain,1,SNC,180
Cunning Coyote,1,OTJ,118
Cyclone Sire,1,OGW,54
Dark Revenant,1,RTR,61
Dawnhart Mentor,1,MID,179
Digsite Conservator,2,LCI,252
Dissension in the Ranks,1,SOI,152
Dragon Whelp,1,DMR,116
Dragon's Eye Savants,3,KTK,38
Dungeon Crawler,3,AFR,99
Eomer of the Riddermark,1,LTR,121
Farbog Boneflinger,1,CN2,134
Fervent Paincaster,4,HOU,91
Fighting Drake,8,8ED,77
Firemantle Mage,5,BFZ,145
Flamecast Wheel,2,THS,215
Fretwork Colony,2,KLD,83
Frostfist Strider,1,DMU,51
Gargoyle Sentinel,3,M15,216
Ghirapur Guide,15,M19,182
Goblin Dirigible,1,MRD,177
Gold-Forged Sentinel,3,ORI,226
Heliod's Emissary,4,THS,18
Herbology Instructor // Malady Invoker,1,MOM,189
Horizon Scholar,5,THS,51
Impending Doom,1,THB,139
Incremental Growth,9,KTK,138
Inferno Jet,1,HOU,99
Inga Rune-Eyes,1,CMM,100
Ironclad Revolutionary,3,AER,65
Jade Seedstones // Jadeheart Attendant,1,LCI,195
Lantern Spirit,1,ISD,62
Legion Guildmage,1,GRN,187
Loyal Gryff,2,MID,26
Magmaroth,1,HOU,102
Mahamoti Djinn,2,IMA,64
Malevolent Whispers,1,SOI,173
Maulfist Revolutionary,3,AER,115
Might of the Ancestors,1,LCI,23
Mischief and Mayhem,1,BNG,126
Morkrut Banshee,1,2XM,99
Morkrut Banshee,1,ISD,110
Nearheath Chaplain,1,SOI,29
Nezumi Freewheeler // Hideous Fleshwheeler,2,MOM,119
Nissa's Defeat,1,HOU,123
Noxious Dragon,1,CMR,139
Ouphe Vandals,1,5DN,90
Paired Tactician,4,ZNR,31
Patagia Golem,8,8ED,308
Pilgrim's Eye,2,BFZ,226
Pulsar Squadron Ace,1,EOE,28
"Raff, Weatherlight Stalwart",1,MUL,56
Rakdos Firewheeler,3,RNA,197
Rakdos Ragemutt,4,RTR,185
Rally Maneuver,2,AFR,36
Rampart Smasher,3,ELD,213
Reaver Ambush,3,RIX,83
Relief Captain,2,OGW,32
Rending Flame,2,VOW,175
Rising Miasma,9,BFZ,122
Riverwheel Aerialists,4,KTK,51
Roiling Waters,4,OGW,62
Ruination Rioter,5,MH1,213
Runaway Trash-Bot,1,NEO,257
Scale Blessing,1,2X2,27
Scaled Behemoth,8,CMR,251
Scour the Desert,3,MH2,28
Security Rhox,1,SNC,220
Sentinel of the Pearl Trident,4,DOM,65
Serra Angel,1,DMR,25
Shalai's Acolyte,2,DMU,33
Shinechaser,9,ELD,201
Shoal Kraken,1,THB,65
Skaab Goliath,2,ISD,76
Skaab Wrangler,3,MID,75
Skitterskin,6,BFZ,97
Sky Tether,1,JMP,133
Skyclave Aerialist // Skyclave Invader,2,MOM,78
Slab Hammer,2,BFZ,227
Slayer of the Wicked,1,ISD,32
Sorcerous Spyglass,1,LCI,261
Soulsworn Spirit,3,RTR,51
Springmantle Cleric,1,ZNR,205
Stern Mentor,1,AVR,77
Street Riot,2,GRN,117
Street Sweeper,2,RTR,234
Streetwise Negotiator,3,MOM,207
Succumb to the Cold,1,WOE,72
Sudden Insight,1,AFR,77
Swarm Guildmage,2,GRN,201
Swift Warden,3,RIX,146
Three Bowls of Porridge,1,WOE,253
Thundering Djinn,1,MH1,215
Trueheart Twins,2,AKH,153
Turn Against,7,BFZ,135
Undercity Troll,3,IMA,188
Vaultguard Trooper,1,EOE,166
War-Name Aspirant,7,KTK,126
Warden of the Eye,7,KTK,212
Air Elemental,1,M20,44
Akoum Stonewaker,7,BFZ,140
Altar of the Lost,1,DKA,144
Apostle of Invasion,1,ONE,3
Aquus Steed,3,RTR,29
"Ash, Party Crasher",1,WOE,201
Bladed Ambassador,1,ONE,285
Blazing Hellhound,1,2X2,183
Bolrac-Clan Crusher,3,RNA,159
Brawl-Bash Ogre,7,M19,213
Burning-Yard Trainer,3,ELD,117
Calciderm,3,TSR,11
Cinderslash Ravager,2,ONE,200
Cone of Flame,1,M15,137
Cruel Revival,1,ORI,88
Dampening Pulse,7,BFZ,75
Deserter's Quarters,1,JOU,160
Dimir Guildmage,1,RVR,178
Draugr's Helm,2,KHM,88
Easy Prey,2,IKO,87
Elven Bow,1,KHM,166
Enemy of Enlightenment,2,THB,92
Eternity Snare,2,BNG,37
Experimental Aviator,5,KLD,46
Faith's Fetters,1,CMR,20
Fires of Victory,1,DMU,123
Firmament Sage,2,MID,53
Flamespeaker Adept,5,THS,123
Fluxcharger,1,DGM,71
Furious Reprisal,5,KLD,115
Futurist Operative,2,NEO,53
Gargantuan Leech,1,LCI,107
Goblin Banneret,1,2X2,110
Gruesome Scourger,3,M20,104
Harried Artisan // Phyrexian Skyflayer,1,MOM,143
Hazardous Conditions,2,KLD,182
Hungering Yeti,2,FRF,105
Inga Rune-Eyes,2,KHM,64
Inner Struggle,4,SOI,167
Into the Void,1,CN2,112
Kor Dirge,1,TSR,120
Lunar Rejection,2,VOW,67
Lurking Roper,1,AFR,194
Mausoleum Turnkey,1,RVR,84
Mirror-Shield Hoplite,2,MOM,247
Mischievous Pup,1,LCI,25
Phantom Carriage,3,MID,70
Plated Onslaught,1,ONE,29
Pyrotechnics,3,FRF,111
Relic Axe,1,ZNR,248
Ripscale Predator,3,GTC,103
Roil's Retribution,10,BFZ,45
Runed Servitor,1,ORI,238
Satyr Piper,2,THS,175
Scab-Clan Giant,1,2X2,272
Scuttling Butler,1,SNC,244
Skyline Predator,4,RTR,50
Skyship Buccaneer,2,FDN,50
Solemn Offering,3,BBD,107
Soul Ransom,1,MM3,186
Spirit of the Spires,2,RNA,23
Sun-Blessed Guardian // Furnace-Blessed Conqueror,5,MOM,38
Sunfire Balm,2,ONS,56
Take Up Arms,1,KTK,26
Throwing Knife,4,ORI,241
Timely Hordemate,5,KTK,27
Trumpet Blast,1,BBD,186
"Uchbenbak, the Great Mistake",1,LCI,242
Vengeful Rebirth,1,MM2,188
Veteran Cathar,4,SOI,238
Vivisection Evangelist,2,ONE,220
Watchful Naga,3,AKH,193
Waterwhirl,4,KTK,60
Weldfast Engineer,2,AER,139
Windborne Charge,2,CN2,100
Bellowing Saddlebrute,6,KTK,64
Brown Ouphe,1,MRD,115
Case of the Burning Masks,1,MKM,113
Coastal Discovery,7,BFZ,73
Consecrated by Blood,1,ORI,87
Decorated Griffin,3,THS,7
Diplomacy of the Wastes,2,FRF,67
Duskmourn's Domination,1,DSK,50
Encase in Ice,3,DTK,54
Ertai's Scorn,1,DMU,48
Fallaji Excavation,1,BRO,178
Flame Discharge,2,NEO,142
Flame Spill,3,IKO,117
Font of Progress,1,ONE,51
Frenzied Raider,3,KHM,137
Geist of the Moors,1,M15,13
Goldfury Strider,1,LCI,152
Gravebane Zombie,1,6ED,133
Heavyweight Demolisher,1,BRO,160
Historian's Wisdom,5,NEO,192
Horizon Scholar,9,M19,59
Jace's Ingenuity,2,M15,63
Jeskai Elder,2,M21,53
Jungle Creeper,2,RIX,161
Mardu Blazebringer,3,KTK,115
Necrosquito,2,ONE,100
Nissa's Judgment,1,OGW,139
Prison Realm,1,WAR,26
Pyroconvergence,2,RTR,103
Roil Spout,5,BFZ,219
Rumbling Ruin,2,RNA,112
Sanctum Spirit,1,DOM,30
Scion of Glaciers,4,KTK,53
Sea Spirit,1,5ED,119
Serra Angel,1,EMA,28
Silent Dart,1,GRN,241
Stoneshock Giant,6,THS,142
Storm Fleet Spy,5,XLN,84
Vanguard of the Rose,2,LCI,42
Vanquish the Foul,2,THS,35
Venerable Lammasu,11,KTK,28
Wall of Spears,2,8ED,320
War Oracle,3,ORI,41
Windrider Patrol,4,BFZ,89
Witness of the Ages,2,KTK,228
Zhalfirin Lancer,2,MOM,45
Prodigal Sorcerer,1,5ED,112
Mind Stone,1,WTH,153
Tolarian Winds,1,7ED,105
Cragflame Token,1,TBLB,26
Reverent Silence,1,NEM,111
Primal Growth,1,PLS,87
Firebreathing,1,5ED,228
Heliod's Pilgrim,1,THB,20
Shepherd of Rot,2,ONS,168
Coffin Purge,8,ODY,124
Flame Rift,2,NEM,80
Mob Justice,1,STH,90
Nightscape Familiar,1,PLS,48
Blastoderm,4,NEM,102
Thornscape Familiar,1,PLS,95
Accelerate,4,TOR,90
Grizzly Bears,1,5ED,301
Watertrap Weaver,1,XLN,87
Aboshan's Desire,2,ODY,59
Pygmy Kavu,4,PLS,88
Enslaved Dwarf,4,TOR,96
Introduction to Annihilation,1,STX,3
Serene Heart,1,MIR,242
Funeral Pyre,2,JUD,10
Guilty Conscience,4,SCG,17
Llanowar Elves,1,6ED,239
Spore Frog,1,PCY,126
Swirling Sandstorm,8,JUD,102
Thirst for Meaning,1,THB,354
Frog Tongue,2,TMP,228
Kaervek's Torch,1,MIR,185
Whirlpool Rider,3,APC,35
Disenchant,1,5ED,26
Dwarven Grunt,2,ODY,185
Shock,4,STH,98
Renewed Faith,4,ONS,50
Dwarven Berserker,1,WTH,97
Seal of Strength,4,NEM,115
Tree Monkey,4,9ED,275
Divination,1,BNG,36
Depressurize,1,EOE,95
Chatter of the Squirrel,2,ODY,233
Plated Rootwalla,2,BRB,52
Rites of Initiation,2,ODY,217
Bite Down,1,DMU,155
Dwarven Scorcher,2,JUD,86
Lab Rats,1,STH,61
Llanowar Elves,1,5ED,313
Prizefight,1,SNC,154
Reef Shaman,4,APC,29
Restless Dreams,2,TOR,79
Soul Barrier,1,5ED,125
Celestial Unicorn,1,AFR,301
Druid Lyrist,4,ODY,238
Firebolt,2,ODY,193
Goblin Sledder,2,ONS,209
Liberated Dwarf,2,JUD,95
Rampant Growth,1,TMP,245
Vex,1,DST,36
Ambush Party,1,HML,63b
Dirge of Dread,1,A25,86
Exclude,1,INV,56
Giant Growth,4,7ED,248
Keldon Mantle,1,PLS,65
Scattershot,2,SCG,102
Thicket Crasher,1,M20,196
Tundra Kavu,2,APC,71
Unburden,8,SCG,77
Imagecrafter,8,ONS,87
Respite,2,TMP,249
Rogue Elephant,1,WTH,139
Seething Anger,1,STH,96
Skittering Horror,2,BTD,30
Tormod's Cryptkeeper,1,MH2,239
Yavimaya Wurm,2,BTD,66
Circle of Protection: Red,1,TMP,11
Dragon Breath,8,SCG,86
Orim's Thunder,1,APC,15
Outlaw Medic,1,OTJ,23
Sewer-veillance Cam,1,TMT,53
Capashen Unicorn,1,INV,10
Circle of Protection: Blue,1,ICE,13
Circle of Protection: White,1,ICE,16
Honorable Scout,1,PLS,8
Mage's Guile,2,ONS,91
Mark of Mutiny,1,IMA,139
Prodigal Sorcerer,1,7ED,94
Search Party Captain,1,MID,32
Solidarity,4,8ED,46
Taunting Elf,1,UDS,122
Academy Journeymage,1,DOM,41
Bronze Sword,1,THB,232
Fire Whip,1,WTH,100
Flash of Defiance,8,TOR,99
Foot Mystic,1,TMT,63
Jhessian Thief,1,IMA,61
Llanowar Druid,2,WTH,133
Anaba Bodyguard,1,HML,66a
Angelic Wall,2,ODY,3
Bandage,1,STH,1
Daru Spiritualist,4,SCG,5
Elusive Spellfist,1,IMA,54
Goblin Grappler,2,LGN,100
Hardy Veteran,1,RIX,132
Incinerate,1,5ED,242
Kindly Ancestor // Ancestor's Embrace,1,VOW,22
Melded Moxite,1,EOE,143
Shimmering Wings,1,INV,72
Spitfire Lagac,1,FDN,208
Thalakos Mistfolk,1,TMP,93
Troubled Healer,1,PCY,27
Voidmage Apprentice,4,LGN,54
Beamsaw Prospector,1,EOE,89
Biblioplex Assistant,1,STX,251
Cannibalize,2,STH,53
Etali's Favor,1,LCI,149
Farhaven Elf,1,CMR,225
Galvanic Relay,1,MH2,127
Giant Strength,2,5ED,233
Haunted Cadaver,8,ONS,154
Howling Golem,1,CMR,316
Moonglove Extract,1,IMA,222
Quirion Trailblazer,2,INV,205
Seize the Secrets,1,OTJ,64
Taunting Elf,6,ONS,290
They Went This Way,1,MKM,178
Apathy,1,WTH,33
Bala Ged Scorpion,1,IMA,79
Disenchant,1,A25,12
Lay Waste,6,ONS,216
Mind Rot,8,8ED,144
Mistform Mask,2,ONS,94
Riptide Biologist,2,ONS,106
Unsummon,1,5ED,132
Urn of Godfire,1,MOM,266
Wild Might,1,PCY,134
Airborne Aid,2,ONS,62
Beast-Kin Ranger,1,FDN,100
Coral Net,2,TOR,35
Daru Lancer,8,ONS,20
Glidedive Duo,2,BLB,96
Goblin Digging Team,4,7ED,186
Hobble,2,PLS,7
Krosan Tusker,2,ONS,272
Latulla's Orders,1,PCY,96
"Leonardo, Big Brother",2,TMT,14
Mutant Town,1,TMT,187
Remove Soul,1,CHR,25
Sea's Claim,2,9ED,97
Skyshroud Elf,4,TMP,255
Soltari Foot Soldier,1,TMP,43
Spy Network,2,ONS,115
Thalakos Seer,1,TMP,94
Barkhide Mauler,4,ONS,246
Bellowing Crier,2,BLB,42
Bloodfire Infusion,4,APC,57
Break Open,4,ONS,190
Crown of Flames,3,INV,142
Devastate,1,PCY,87
Discordant Piper,1,THB,88
Disruptive Pitmage,8,ONS,81
Dwarven Warriors,1,5ED,222
Echo Tracer,10,LGN,37
Fishliver Oil,1,CHR,20
Incriminate,2,SNC,465
Legion Conquistador,1,RIX,11
Lightshell Duo,1,FDN,157
Merfolk of the Pearl Trident,3,7ED,90
Naturalize,8,8ED,270
Overeager Apprentice,6,ODY,154
Overgrowth,2,9ED,262
Stun,2,INV,172
Summary Judgment,1,RNA,24
Tavern Ruffian // Tavern Smasher,1,MID,163
Terror,1,5ED,196
Tranquility,2,INV,217
Worldly Counsel,2,INV,89
Aggressive Urge,3,INV,181
Aven Fogbringer,8,JUD,34
Benalish Trapper,1,INV,8
Exquisite Huntmaster,1,CMR,122
Flamewave Invoker,6,LGN,92
Fog,1,5ED,293
Goblin Spelunkers,4,7ED,193
Heaped Harvest,1,BLB,175
Heat Ray,1,IMA,133
Ixidor's Will,2,ONS,90
Lone Wolf,1,7ED,254
Mistform Wall,2,ONS,99
Sea's Claim,2,ONS,113
Soltari Trooper,1,TMP,47
Spitting Earth,4,7ED,220
Tourach's Canticle,1,MH2,103
Tranquility,3,7ED,276
War Squeak,2,BLB,160
Wave of Indifference,4,ONS,243
Withdraw,1,PCY,54
Bigfin Bouncer,1,FDN,31
Blazing Salvo,2,ODY,178
Bog Gnarr,1,APC,76
Bog Rats,1,5ED,146
Bushy Bodyguard Token,1,TBLB,20
Circle of Protection: Black,1,5ED,17
Contempt,1,STH,27
Demoralize,2,ODY,184
Disenchant,1,TMP,16
Fling,4,ELD,126
Frightcrawler,2,ODY,138
Giant Growth,4,5ED,299
Goblin Elite Infantry,4,7ED,187
Information Dealer,2,ONS,88
Jilt,2,APC,27
Maggot Carrier,2,PLS,45
Phantasmal Terrain,2,INV,65
Phyrexian Rager,1,CMR,142
Pollen Remedy,1,PLS,13
Savage Gorilla,1,APC,85
Spirit en-Kor,1,STH,19
Whipgrass Entangler,4,LGN,26
Wildsize,1,IMA,191
Ana Disciple,3,APC,73
Bat Token,1,TBLB,10
Cabal Trainee,2,JUD,63
Chartooth Cougar,4,SCG,84
Cinderheart Giant,1,KHM,126
Clay Statue,1,5ED,355
Crimson Fleet Commodore,1,CMR,171
Embolden,4,ODY,22
Erg Raiders,1,5ED,158
Eternal Warrior,1,5ED,225
Frantic Purification,2,TOR,6
Gene Pollinator,1,EOE,186
Goblin Token,2,TDTK,6
Gravegouger,6,TOR,62
Last Caress,1,APC,41
Lavamancer's Skill,8,ONS,215
Llanowar Elite,1,INV,196
Over the Edge,1,LCI,205
Pearl of Wisdom,1,BLB,64
Phantom Tiger,1,IMA,181
Plague Fiend,1,PCY,73
Protective Sphere,2,INV,26
Ranger's Hawk,1,AFR,37
Shore Up,1,BLB,69
Snow Devil,1,ICE,100
Soltari Lancer,1,TMP,44
Tarpan,1,ICE,267
Veteran Cavalier,2,9ED,52
Virulent Swipe,1,IMA,113
Wirewood Elf,6,ONS,301
Arborea Pegasus,1,AFR,2
Ascending Aven,8,ONS,68
Aura Blast,1,PLS,1
Benalish Infantry,1,WTH,8
Crown of Awe,2,ONS,16
Daring Leap,2,PLS,101
Dragon Egg,1,CMR,173
Dragon Scales,8,SCG,10
Eager Cadet,4,8ED,S1
Ethercaste Knight,1,ARB,3
Fatal Blow,1,WTH,67
Femeref Healer,1,MIR,17
Frozen Shade,1,5ED,163
Funeral March,1,5ED,164
Irreverent Revelers,1,THB,143
Keeneye Aven,8,LGN,41
Mountain Goat,1,ICE,203
Mounted Archers,2,TMP,30
Nantuko Calmer,2,TOR,132
Naturalize,6,9ED,258
Norwood Ranger,4,9ED,260
Nutrient Block,2,EOE,243
Ray of Command,1,5ED,114
Scathe Zombies,8,8ED,160
Sisay's Ingenuity,2,PLS,33
Soul Charmer,1,PCY,24
Stream of Life,1,7ED,272
Teferi's Curse,1,MIR,96
Treetop Scout,2,SCG,130
Tunnel Rats,2,TMT,84
Unholy Strength,1,5ED,201
Volcanic Hammer,2,8ED,231
Willow Faerie,3,HML,99b
Zombie Cutthroat,4,SCG,81
Ancestral Blade,1,CMR,5
Ardent Electromancer,1,ZNR,135
Bat Whisperer,1,MID,86
Bloodwater Entity,1,2X2,185
Blossoming Wreath,1,WTH,120
Coastal Drake,2,APC,22
Coral Merfolk,4,7ED,66
Crustacean Commando,1,TMT,33
Crypt Creeper,8,ODY,125
Death's-Head Buzzard,2,SCG,63
Dirge of Dread,2,ONS,138
Elvish Fury,1,TMP,226
Flash Counter,2,8ED,78
Floating Shield,2,TOR,5
Glimmer Bairn,1,MH2,163
Gorilla Chieftain,3,7ED,250
Helionaut,4,APC,13
Innocuous Rat,1,DSK,103
Lawbringer,2,NEM,10
Lifecreed Duo,2,BLB,20
Lys Alana Bowmaster,1,CMR,241
Mesa Falcon,1,HML,10a
Mistform Sliver,8,LGN,46
Mons's Goblin Raiders,1,5ED,251
Nanoform Sentinel,1,EOE,71
Nantuko Tracer,2,JUD,125
Ridgeline Rager,1,PCY,100
Shackles,1,INV,37
Shatter,4,9ED,218
Smash,4,APC,69
Smokespew Invoker,6,LGN,81
Spined Wurm,4,7ED,270
Syphon Soul,2,ONS,176
Treetop Sentries,1,BLB,201
Unsummon,1,7ED,108
Whispering Shade,4,ODY,167
Wight of Precinct Six,1,IMA,114
Aeromoeba,1,MH2,389e
Anointer of Valor,1,CMR,8
Blight Rot,1,ECL,89
Bogslither's Embrace,1,ECL,94
Change of Heart,1,STH,3
Chub Toad,1,ICE,229
Coastal Hornclaw,2,PCY,31
Death Bomb,2,PLS,41
Decode Transmissions,2,EOE,94
Defiant Elf,4,LGN,123
Desert Cerodon,1,PLST,AKH-128
Disintegrate,1,5ED,219
Dragon Fangs,6,SCG,117
Drover Grizzly,1,OTJ,161
Eager Cadet,2,S00,5
Exotic Curse,4,INV,105
Fledgling Djinn,1,WTH,69
Flight,1,7ED,75
Giant Octopus,6,8ED,S3
Giant Octopus,5,7ED,77
Goblin Brigand,8,9ED,190
Goblin Chariot,4,7ED,185
Grizzly Bears,4,8ED,256
Hungry Mist,1,HML,88a
Labyrinth Minotaur,1,5ED,97
Lifecrafter's Gift,2,CMR,240
Liquify,2,TOR,41
Malamet Brawler,1,LCI,199
Mending Hands,2,9ED,29
Nameless Inversion,1,MM2,87
Necra Disciple,1,APC,44
Pearled Unicorn,1,5ED,50
Redwood Treefolk,2,7ED,264
Regeneration,3,7ED,265
Rock Jockey,6,SCG,101
Rootbreaker Wurm,1,TMP,251
Savage Offensive,4,INV,162
Sazacap's Brew,2,BLB,151
Serpent Warrior,1,STH,69
Skyshroud Falcon,1,7ED,45
Solar Blast,8,ONS,234
Timberland Guide,1,IMA,187
Tremor,4,8ED,228
Vigorous Charge,1,INV,222
Vile Deacon,6,LGN,85
Acceptable Losses,4,ODY,172
Accursed Centaur,4,ONS,123
Biosynthic Burst,1,EOE,173
Canopy Spider,1,8ED,236
Carrot Cake,1,BLB,7
Circle of Protection: Blue,1,5ED,18
Clarion Cathars,1,MID,14
Conviction,1,STH,5
Crown of Fury,8,ONS,196
Deepwood Ghoul,2,8ED,127
Dimension X,1,TMT,183
Dream Thrush,1,INV,53
Drudge Skeletons,6,8ED,129
Drudge Skeletons,2,8ED,129s
Errantry,1,ICE,183
Escape Tunnel,1,TMT,184
Falling Timber,1,PLS,79
Fleeting Distraction,1,FDN,155
Folk Medicine,2,JUD,115
Frog Butler,2,TMT,114
Goblin Brigand,4,SCG,94
Gravel Slinger,6,ONS,33
Gulf Squid,2,PCY,35
Heal,1,ICE,30
Metathran Zombie,1,INV,63
Morgue Theft,2,ODY,151
Morgue Thrull,1,STH,65
Nissa's Zendikon,1,ZNR,197
Nomadic Elf,1,INV,200
Panther Warriors,1,6ED,243
Polliwallop,1,BLB,189
Rampant Elephant,1,INV,28
Razorfoot Griffin,1,INV,29
Razorfoot Griffin,3,7ED,32
Refresh,6,ODY,264
Rhystic Shield,2,PCY,20
Sawtooth Ogre,1,WTH,114
Shanodin Dryads,4,7ED,269
Silver Drake,1,PLS,125
Skulltap,4,SCG,73
